Date,Time In,Cycle Time,Storage,Commodity
2/21/2018,10:29 AM,59,B 1,Wheat
2/21/2018,10:30 AM,81,B 1,Wheat
2/21/2018,10:31 AM,88,B 1,Wheat
2/21/2018,10:32 AM,109,B 1,Wheat
2/21/2018,10:33 AM,160,B 1,Wheat
2/21/2018,10:39 AM,98,F 1,CORN
2/21/2018,10:40 AM,107,F 1,CORN
2/21/2018,10:42 AM,96,F 1,CORN
2/21/2018,10:43 AM,112,S 1,CORN
2/21/2018,10:44 AM,123,F 1,CORN
2/21/2018,12:22 PM,31,S 1,CORN
2/21/2018,12:24 PM,36,S 1,CORN
2/21/2018,12:30 PM,37,S 1,CORN
2/21/2018,12:38 PM,36,S 1,CORN
2/21/2018,12:50 PM,37,S 1,CORN
2/21/2018,12:51 PM,40,S 1,CORN
2/21/2018,1:24 PM,15,S 1,CORN
2/21/2018,1:25 PM,68,B 1,Wheat
2/21/2018,1:26 PM,92,B 1,Wheat
2/21/2018,2:04 PM,72,B 1,Wheat
2/21/2018,2:05 PM,101,B 1,Wheat
2/21/2018,2:06 PM,102,B 1,Wheat
2/21/2018,2:59 PM,14,S 1,CORN
2/21/2018,3:00 PM,22,F 1,CORN
2/21/2018,3:25 PM,12,S 1,CORN
2/21/2018,3:26 PM,24,S 1,CORN
2/21/2018,3:34 PM,26,F 1,CORN
2/21/2018,5:19 PM,19,F 1,CORN
2/21/2018,5:20 PM,30,S 1,CORN
2/21/2018,5:21 PM,41,F 1,CORN
2/21/2018,5:23 PM,50,F 1,CORN
2/21/2018,5:25 PM,62,F 1,CORN
2/21/2018,6:11 PM,35,F 1,CORN
2/21/2018,6:16 PM,56,F 1,CORN
2/21/2018,6:17 PM,45,F 1,CORN
2/21/2018,6:29 PM,54,F 1,CORN
2/21/2018,8:24 PM,41,F 1,CORN
2/21/2018,8:25 PM,27,F 1,CORN
2/21/2018,8:28 PM,68,F 1,CORN
2/21/2018,8:30 PM,46,F 1,CORN
2/21/2018,8:31 PM,59,F 1,CORN
2/21/2018,8:40 PM,40,F 1,CORN
2/21/2018,8:58 PM,42,F 1,CORN
2/21/2018,9:00 PM,41,F 1,CORN
2/21/2018,9:14 PM,29,F 1,CORN
2/21/2018,9:24 PM,23,F 1,CORN
2/21/2018,9:39 PM,10,F 1,CORN
2/21/2018,10:41 PM,19,F 1,CORN
2/21/2018,10:45 PM,30,F 1,CORN
2/21/2018,10:49 PM,36,F 1,CORN
2/21/2018,10:50 PM,65,F 1,CORN
2/21/2018,10:51 PM,73,F 1,CORN
2/21/2018,10:53 PM,85,F 1,CORN
2/22/2018,1:56 AM,12,F 1,CORN
2/22/2018,1:57 AM,17,F 1,CORN
2/22/2018,1:58 AM,26,F 1,CORN
